ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,óLå¯ë™íËì˙êî(ì˙),ë™íËéûä‘(éûä‘),îNïΩãœíl(ppm),ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘),ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êîÇÃë™íËéûä‘êîÇ…ëŒÇ∑ÇÈäÑçá(%),ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙),ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êîÇÃóLå¯ë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ÇPéûä‘ílÇÃç≈çÇíl(ppm),ì˙ïΩãœílÇÃÇQ%èúäOíl(ppm),ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙Ç™ÇQì˙à»è„òAë±ÇµÇΩÇ±Ç∆ÇÃóLñ≥(óL:XÅEñ≥:O),ä¬ã´äÓèÄÇÃí∑ä˙ìIï]âøÇ…ÇÊÇÈì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,óLå¯ë™íËì˙êî(ì˙)_ÇSåé,óLå¯ë™íËì˙êî(ì˙)_ÇTåé,óLå¯ë™íËì˙êî(ì˙)_ÇUåé,óLå¯ë™íËì˙êî(ì˙)_ÇVåé,óLå¯ë™íËì˙êî(ì˙)_ÇWåé,óLå¯ë™íËì˙êî(ì˙)_ÇXåé,óLå¯ë™íËì˙êî(ì˙)_10åé,óLå¯ë™íËì˙êî(ì˙)_11åé,óLå¯ë™íËì˙êî(ì˙)_12åé,óLå¯ë™íËì˙êî(ì˙)_ÇPåé,óLå¯ë™íËì˙êî(ì˙)_ÇQåé,óLå¯ë™íËì˙êî(ì˙)_ÇRåé,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(ppm)_ÇSåé,åéïΩãœíl(ppm)_ÇTåé,åéïΩãœíl(ppm)_ÇUåé,åéïΩãœíl(ppm)_ÇVåé,åéïΩãœíl(ppm)_ÇWåé,åéïΩãœíl(ppm)_ÇXåé,åéïΩãœíl(ppm)_10åé,åéïΩãœíl(ppm)_11åé,åéïΩãœíl(ppm)_12åé,åéïΩãœíl(ppm)_ÇPåé,åéïΩãœíl(ppm)_ÇQåé,åéïΩãœíl(ppm)_ÇRåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇSåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇTåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇUåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇVåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇWåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇXåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_10åé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_11åé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_12åé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇPåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇQåé,ÇPéûä‘ílÇ™0.1ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇRåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_10åé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_11åé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_12åé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,ì˙ïΩãœílÇ™0.04ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇSåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇTåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇUåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇVåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇWåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇXåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_10åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_11åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_12åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇPåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇQåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇRåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇSåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇTåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇUåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇVåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇWåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇXåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_10åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_11åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_12åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇPåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇQåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇRåé,åéä‘èWåvçÄñ⁄8_ÇSåé,åéä‘èWåvçÄñ⁄8_ÇTåé,åéä‘èWåvçÄñ⁄8_ÇUåé,åéä‘èWåvçÄñ⁄8_ÇVåé,åéä‘èWåvçÄñ⁄8_ÇWåé,åéä‘èWåvçÄñ⁄8_ÇXåé,åéä‘èWåvçÄñ⁄8_10åé,åéä‘èWåvçÄñ⁄8_11åé,åéä‘èWåvçÄñ⁄8_12åé,åéä‘èWåvçÄñ⁄8_ÇPåé,åéä‘èWåvçÄñ⁄8_ÇQåé,åéä‘èWåvçÄñ⁄8_ÇRåé,åéä‘èWåvçÄñ⁄9_ÇSåé,åéä‘èWåvçÄñ⁄9_ÇTåé,åéä‘èWåvçÄñ⁄9_ÇUåé,åéä‘èWåvçÄñ⁄9_ÇVåé,åéä‘èWåvçÄñ⁄9_ÇWåé,åéä‘èWåvçÄñ⁄9_ÇXåé,åéä‘èWåvçÄñ⁄9_10åé,åéä‘èWåvçÄñ⁄9_11åé,åéä‘èWåvçÄñ⁄9_12åé,åéä‘èWåvçÄñ⁄9_ÇPåé,åéä‘èWåvçÄñ⁄9_ÇQåé,åéä‘èWåvçÄñ⁄9_ÇRåé
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,364,8706,0.001,0,0,0,0,0.011,0.004,O,0,3,,,,,30,31,30,31,31,30,31,29,31,31,28,31,718,740,717,736,742,717,742,706,739,738,670,741,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.002,0.002,0.004,0.004,0.005,0.005,0.009,0.01,0.011,0.007,0.002,0.001,0,0,0.001,0.001,0.002,0.002,0.003,0.005,0.004,0.003,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101020,éRï@,Yamahana,1,0,1,èZ,10,365,8719,0.001,0,0,0,0,0.007,0.002,O,0,3,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,742,712,742,741,717,742,718,739,738,669,741,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.002,0.002,0.002,0.003,0.003,0.005,0.005,0.006,0.007,0.005,0.007,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,365,8717,0.001,0,0,0,0,0.016,0.003,O,0,3,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,741,718,737,741,716,741,716,736,742,670,741,0.001,0,0,0,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.004,0.004,0.007,0.003,0.005,0.007,0.003,0.005,0.01,0.016,0.005,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,0.002,0.002,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,363,8705,0.001,0,0,0,0,0.016,0.003,O,0,3,,,,,30,31,30,30,31,29,31,30,31,31,28,31,718,742,718,730,741,710,742,718,741,742,670,733,0.001,0.001,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.005,0.003,0.002,0.002,0.003,0.003,0.007,0.007,0.01,0.016,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.006,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105010,ìååéä¶,Higashitsukisamu,1,0,1,èZ,10,365,8720,0,0,0,0,0,0.005,0.001,O,0,3,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,742,712,742,741,718,741,717,742,737,669,741,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.002,0.004,0.004,0.002,0.002,0.003,0.001,0.001,0.005,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.002,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,365,8715,0.001,0,0,0,0,0.011,0.003,O,0,3,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,741,718,735,742,714,742,716,737,742,670,741,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.005,0.005,0.01,0.011,0.006,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.002,0.004,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202100,íÜïîè¨äwçZ,Chuubushougakkou,1,0,2,è§,20,365,8715,0.001,0,0,0,0,0.015,0.002,O,0,3,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,708,742,741,718,742,718,736,740,670,741,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.002,0.001,0.002,0.003,0.004,0.007,0.005,0.005,0.006,0.015,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,2,01,ñkäCìπ,Hokkai-do,01203,è¨íMés,Otaru-shi,01203100,èüî[,Katsunai,1,0,1,èZ,30,364,8733,0.003,0,0,0,0,0.012,0.006,O,0,2,,,,,30,31,30,30,31,30,31,30,31,31,28,31,717,743,718,737,740,718,744,716,743,743,671,743,0.004,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.011,0.011,0.01,0.007,0.006,0.011,0.006,0.006,0.007,0.012,0.008,0.006,0.006,0.008,0.006,0.004,0.004,0.006,0.004,0.004,0.004,0.006,0.005,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01204,àÆêÏés,Asahikawa-shi,01204010,íÜâõ,Chuuou,1,0,2,è§,40,363,8691,0.001,0,0,0,0,0.024,0.004,O,0,3,,,,,30,31,30,31,29,30,31,30,31,31,28,31,715,742,718,743,710,717,739,718,742,736,670,741,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.004,0.024,0.022,0.015,0.006,0.008,0.009,0.008,0.009,0.01,0.007,0.002,0.002,0.003,0.004,0.005,0.002,0.003,0.004,0.003,0.004,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01205,é∫óñés,Muroran-shi,01205020,å‰ëOêÖínãÊë™íËã«,Gozensuichikusokuteikyoku,1,0,1,èZ,50,364,8716,0.001,0,0,0,0,0.011,0.003,O,0,3,,,,,30,31,30,31,30,30,31,30,31,31,28,31,717,740,718,740,736,717,740,716,742,742,670,738,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0.003,0.003,0.003,0.001,0.004,0.002,0.003,0.004,0.002,0.011,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.004,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,2,01,ñkäCìπ,Hokkai-do,01205,é∫óñés,Muroran-shi,01205060,îííπë‰ínãÊë™íËã«,Hakuchoudaichikusokuteikyoku,1,0,1,èZ,50,365,8726,0.003,0,0,0,0,0.033,0.006,O,0,2,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,717,741,742,717,739,717,742,741,670,741,0.003,0.003,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.032,0.033,0.017,0.031,0.015,0.008,0.011,0.014,0.009,0.018,0.017,0.005,0.007,0.009,0.006,0.007,0.004,0.004,0.004,0.005,0.004,0.005,0.008,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,01,SO2,3,01,ñkäCìπ,Hokkai-do,01205,é∫óñés,Muroran-shi,01205310,ó÷êºínãÊë™íËã«,Wanishichikusokuteikyoku,1,0,1,èZ,50,363,8697,0.001,0,0,0,0,0.027,0.006,O,0,3,,,,,30,31,30,31,31,30,29,30,31,31,28,31,717,740,718,740,742,718,714,715,742,739,670,742,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.013,0.015,0.023,0.021,0.016,0.017,0.017,0.01,0.016,0.018,0.017,0.006,0.003,0.005,0.007,0.006,0.003,0.004,0.006,0.003,0.004,0.005,0.006,,,,,,,,,,,,,,,,,,,,,,,,
