ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ÉRÅ[Éh_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,óLå¯ë™íËì˙êî(ì˙),ë™íËéûä‘(éûä‘),îNïΩãœíl(ppm),ÇPéûä‘ílÇÃç≈çÇíl(ppm),ì˙ïΩãœílÇÃîNä‘98%íl(ppm),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄7,îNä‘èWåvçÄñ⁄8,îNä‘èWåvçÄñ⁄9,îNä‘èWåvçÄñ⁄10,îNä‘èWåvçÄñ⁄11,îNä‘èWåvçÄñ⁄12,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,óLå¯ë™íËì˙êî(ì˙)_ÇSåé,óLå¯ë™íËì˙êî(ì˙)_ÇTåé,óLå¯ë™íËì˙êî(ì˙)_ÇUåé,óLå¯ë™íËì˙êî(ì˙)_ÇVåé,óLå¯ë™íËì˙êî(ì˙)_ÇWåé,óLå¯ë™íËì˙êî(ì˙)_ÇXåé,óLå¯ë™íËì˙êî(ì˙)_10åé,óLå¯ë™íËì˙êî(ì˙)_11åé,óLå¯ë™íËì˙êî(ì˙)_12åé,óLå¯ë™íËì˙êî(ì˙)_ÇPåé,óLå¯ë™íËì˙êî(ì˙)_ÇQåé,óLå¯ë™íËì˙êî(ì˙)_ÇRåé,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(ppm)_ÇSåé,åéïΩãœíl(ppm)_ÇTåé,åéïΩãœíl(ppm)_ÇUåé,åéïΩãœíl(ppm)_ÇVåé,åéïΩãœíl(ppm)_ÇWåé,åéïΩãœíl(ppm)_ÇXåé,åéïΩãœíl(ppm)_10åé,åéïΩãœíl(ppm)_11åé,åéïΩãœíl(ppm)_12åé,åéïΩãœíl(ppm)_ÇPåé,åéïΩãœíl(ppm)_ÇQåé,åéïΩãœíl(ppm)_ÇRåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇSåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇTåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇUåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇVåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇWåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇXåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_10åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_11åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_12åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇPåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇQåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇRåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇSåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇTåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇUåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇVåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇWåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇXåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_10åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_11åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_12åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇPåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇQåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇRåé,åéä‘èWåvçÄñ⁄6_ÇSåé,åéä‘èWåvçÄñ⁄6_ÇTåé,åéä‘èWåvçÄñ⁄6_ÇUåé,åéä‘èWåvçÄñ⁄6_ÇVåé,åéä‘èWåvçÄñ⁄6_ÇWåé,åéä‘èWåvçÄñ⁄6_ÇXåé,åéä‘èWåvçÄñ⁄6_10,åéä‘èWåvçÄñ⁄6_11åé,åéä‘èWåvçÄñ⁄6_12åé,åéä‘èWåvçÄñ⁄6_ÇPåé,åéä‘èWåvçÄñ⁄6_ÇQåé,åéä‘èWåvçÄñ⁄6_ÇRåé,åéä‘èWåvçÄñ⁄7_ÇSåé,åéä‘èWåvçÄñ⁄7_ÇTåé,åéä‘èWåvçÄñ⁄7_ÇUåé,åéä‘èWåvçÄñ⁄7_ÇVåé,åéä‘èWåvçÄñ⁄7_ÇWåé,åéä‘èWåvçÄñ⁄7_ÇXåé,åéä‘èWåvçÄñ⁄7_10åé,åéä‘èWåvçÄñ⁄7_11åé,åéä‘èWåvçÄñ⁄7_12åé,åéä‘èWåvçÄñ⁄7_ÇPåé,åéä‘èWåvçÄñ⁄7_ÇQåé,åéä‘èWåvçÄñ⁄7_ÇRåé,åéä‘èWåvçÄñ⁄8_ÇSåé,åéä‘èWåvçÄñ⁄8_ÇTåé,åéä‘èWåvçÄñ⁄8_ÇUåé,åéä‘èWåvçÄñ⁄8_ÇVåé,åéä‘èWåvçÄñ⁄8_ÇWåé,åéä‘èWåvçÄñ⁄8_ÇXåé,åéä‘èWåvçÄñ⁄8_10åé,åéä‘èWåvçÄñ⁄8_11åé,åéä‘èWåvçÄñ⁄8_12åé,åéä‘èWåvçÄñ⁄8_ÇPåé,åéä‘èWåvçÄñ⁄8_ÇQåé,åéä‘èWåvçÄñ⁄8_ÇRåé,åéä‘èWåvçÄñ⁄9_ÇSåé,åéä‘èWåvçÄñ⁄9_ÇTåé,åéä‘èWåvçÄñ⁄9_ÇUåé,åéä‘èWåvçÄñ⁄9_ÇVåé,åéä‘èWåvçÄñ⁄9_ÇWåé,åéä‘èWåvçÄñ⁄9_ÇXåé,åéä‘èWåvçÄñ⁄9_10åé,åéä‘èWåvçÄñ⁄9_11åé,åéä‘èWåvçÄñ⁄9_12åé,åéä‘èWåvçÄñ⁄9_ÇPåé,åéä‘èWåvçÄñ⁄9_ÇQåé,åéä‘èWåvçÄñ⁄9_ÇRåé
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,186,4453,0.002,0.023,0.004,2,,,,,,,,,,,30,31,30,31,31,30,3,0,0,0,0,0,718,742,718,736,742,716,81,0,0,0,0,0,0.002,0.001,0.002,0.003,0.002,0.002,0.002,,,,,,0.023,0.011,0.011,0.014,0.009,0.016,0.012,,,,,,0.005,0.002,0.003,0.004,0.004,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101520,ñkÇPè,Kita1Jou,2,0,2,è§,10,364,8699,0.01,0.184,0.035,2,,,,,,,,,,,30,31,30,31,31,30,31,29,31,31,28,31,718,740,718,735,742,716,742,706,735,737,670,740,0.006,0.004,0.005,0.006,0.005,0.006,0.009,0.012,0.015,0.022,0.016,0.013,0.038,0.03,0.029,0.04,0.024,0.036,0.068,0.081,0.17,0.184,0.152,0.101,0.009,0.009,0.009,0.009,0.009,0.01,0.016,0.02,0.04,0.048,0.05,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101540,ìÏÇPÇSè,Minami14Jou,2,0,2,è§,10,365,8716,0.007,0.135,0.028,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,718,735,741,717,742,716,742,737,669,741,0.004,0.003,0.004,0.004,0.004,0.005,0.006,0.009,0.013,0.016,0.014,0.009,0.023,0.016,0.019,0.023,0.019,0.03,0.04,0.05,0.095,0.112,0.135,0.059,0.007,0.006,0.007,0.009,0.007,0.009,0.01,0.018,0.029,0.033,0.035,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,365,8721,0.003,0.177,0.018,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,742,718,736,741,717,742,718,737,742,670,740,0.001,0,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.009,0.007,0.004,0.025,0.005,0.007,0.006,0.045,0.016,0.036,0.078,0.112,0.177,0.138,0.087,0.002,0.001,0.001,0.001,0.003,0.002,0.006,0.008,0.018,0.051,0.037,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,364,8687,0.004,0.229,0.029,2,,,,,,,,,,,30,31,30,31,31,29,31,30,31,31,28,31,715,738,713,736,740,708,739,716,738,740,668,736,0.001,0,0.001,0.001,0.001,0.001,0.002,0.003,0.008,0.015,0.008,0.004,0.019,0.013,0.007,0.014,0.01,0.015,0.054,0.048,0.123,0.229,0.191,0.118,0.003,0.002,0.002,0.002,0.002,0.002,0.008,0.008,0.032,0.059,0.047,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102510,ñkÇPÇXè,Kita19Jou,2,0,2,è§,10,365,8716,0.007,0.249,0.041,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,711,742,742,716,741,718,741,736,670,740,0.003,0.002,0.002,0.003,0.002,0.003,0.005,0.006,0.013,0.02,0.015,0.01,0.022,0.02,0.015,0.019,0.016,0.033,0.06,0.061,0.175,0.249,0.19,0.138,0.005,0.004,0.004,0.004,0.004,0.007,0.013,0.017,0.046,0.068,0.055,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01103,éDñyésìåãÊ,Sapporo-shi Higashi-ku,01103520,ìåÇPÇWíöñ⁄,Higashi18Choume,2,0,2,è§,10,365,8716,0.009,0.28,0.047,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,711,742,742,717,742,714,742,737,670,741,0.005,0.003,0.003,0.003,0.003,0.004,0.007,0.007,0.016,0.026,0.02,0.013,0.04,0.029,0.02,0.02,0.024,0.041,0.076,0.088,0.252,0.28,0.173,0.141,0.012,0.008,0.007,0.009,0.007,0.009,0.016,0.019,0.056,0.059,0.056,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105520,åéä¶íÜâõ,Tsukisamuchuuou,2,0,2,è§,10,365,8716,0.007,0.182,0.024,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,741,717,736,742,717,742,715,741,738,669,741,0.005,0.003,0.003,0.002,0.003,0.004,0.006,0.008,0.012,0.016,0.013,0.008,0.033,0.031,0.023,0.02,0.026,0.025,0.038,0.052,0.085,0.182,0.097,0.064,0.01,0.008,0.009,0.009,0.01,0.009,0.012,0.013,0.022,0.041,0.025,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,365,8719,0.002,0.158,0.02,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,718,735,742,716,742,718,737,742,670,740,0.001,0,0,0,0,0.001,0.002,0.002,0.004,0.009,0.006,0.003,0.018,0.01,0.005,0.008,0.005,0.022,0.049,0.056,0.084,0.143,0.158,0.116,0.002,0.001,0.001,0.001,0.001,0.002,0.008,0.008,0.018,0.035,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,02,NO,2,01,ñkäCìπ,Hokkai-do,01108,éDñyéså˙ï ãÊ,Sapporo-shi Atsubetsu-ku,01108010,å˙ï ,Atsubetsu,1,0,2,è§,10,365,8718,0.005,0.264,0.034,2,,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,712,740,742,716,742,718,737,742,670,740,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.01,0.015,0.013,0.005,0.021,0.012,0.009,0.007,0.009,0.026,0.048,0.07,0.182,0.264,0.183,0.065,0.004,0.002,0.002,0.002,0.002,0.004,0.01,0.012,0.034,0.041,0.06,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
