ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,óLå¯ë™íËì˙êî(ì˙),ë™íËéûä‘(éûä‘),îNïΩãœíl(ppm),ÇPéûä‘ílÇÃç≈çÇíl(ppm),ì˙ïΩãœílÇÃîNä‘98%íl(ppm),îNïΩãœíl(NO2/NO+NO2)(%),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄8,îNä‘èWåvçÄñ⁄9,îNä‘èWåvçÄñ⁄10,îNä‘èWåvçÄñ⁄11,îNä‘èWåvçÄñ⁄12,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,óLå¯ë™íËì˙êî(ì˙)_ÇSåé,óLå¯ë™íËì˙êî(ì˙)_ÇTåé,óLå¯ë™íËì˙êî(ì˙)_ÇUåé,óLå¯ë™íËì˙êî(ì˙)_ÇVåé,óLå¯ë™íËì˙êî(ì˙)_ÇWåé,óLå¯ë™íËì˙êî(ì˙)_ÇXåé,óLå¯ë™íËì˙êî(ì˙)_10åé,óLå¯ë™íËì˙êî(ì˙)_11åé,óLå¯ë™íËì˙êî(ì˙)_12åé,óLå¯ë™íËì˙êî(ì˙)_ÇPåé,óLå¯ë™íËì˙êî(ì˙)_ÇQåé,óLå¯ë™íËì˙êî(ì˙)_ÇRåé,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(ppm)_ÇSåé,åéïΩãœíl(ppm)_ÇTåé,åéïΩãœíl(ppm)_ÇUåé,åéïΩãœíl(ppm)_ÇVåé,åéïΩãœíl(ppm)_ÇWåé,åéïΩãœíl(ppm)_ÇXåé,åéïΩãœíl(ppm)_10åé,åéïΩãœíl(ppm)_11åé,åéïΩãœíl(ppm)_12åé,åéïΩãœíl(ppm)_ÇPåé,åéïΩãœíl(ppm)_ÇQåé,åéïΩãœíl(ppm)_ÇRåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇSåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇTåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇUåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇVåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇWåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇXåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_10åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_11åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_12åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇPåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇQåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇRåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇSåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇTåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇUåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇVåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇWåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇXåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_10åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_11åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_12åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇPåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇQåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇRåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇSåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇTåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇUåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇVåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇWåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇXåé,åéïΩãœíl(NO2/NO+NO2)(%)_10åé,åéïΩãœíl(NO2/NO+NO2)(%)_11åé,åéïΩãœíl(NO2/NO+NO2)(%)_12åé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇPåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇQåé,åéïΩãœíl(NO2/NO+NO2)(%)_ÇRåé,åéä‘èWåvçÄñ⁄7_ÇSåé,åéä‘èWåvçÄñ⁄7_ÇTåé,åéä‘èWåvçÄñ⁄7_ÇUåé,åéä‘èWåvçÄñ⁄7_ÇVåé,åéä‘èWåvçÄñ⁄7_ÇWåé,åéä‘èWåvçÄñ⁄7_ÇXåé,åéä‘èWåvçÄñ⁄7_10åé,åéä‘èWåvçÄñ⁄7_11åé,åéä‘èWåvçÄñ⁄7_12åé,åéä‘èWåvçÄñ⁄7_ÇPåé,åéä‘èWåvçÄñ⁄7_ÇQåé,åéä‘èWåvçÄñ⁄7_ÇRåé,åéä‘èWåvçÄñ⁄8_ÇSåé,åéä‘èWåvçÄñ⁄8_ÇTåé,åéä‘èWåvçÄñ⁄8_ÇUåé,åéä‘èWåvçÄñ⁄8_ÇVåé,åéä‘èWåvçÄñ⁄8_ÇWåé,åéä‘èWåvçÄñ⁄8_ÇXåé,åéä‘èWåvçÄñ⁄8_10åé,åéä‘èWåvçÄñ⁄8_11åé,åéä‘èWåvçÄñ⁄8_12åé,åéä‘èWåvçÄñ⁄8_ÇPåé,åéä‘èWåvçÄñ⁄8_ÇQåé,åéä‘èWåvçÄñ⁄8_ÇRåé,åéä‘èWåvçÄñ⁄9_ÇSåé,åéä‘èWåvçÄñ⁄9_ÇTåé,åéä‘èWåvçÄñ⁄9_ÇUåé,åéä‘èWåvçÄñ⁄9_ÇVåé,åéä‘èWåvçÄñ⁄9_ÇWåé,åéä‘èWåvçÄñ⁄9_ÇXåé,åéä‘èWåvçÄñ⁄9_10åé,åéä‘èWåvçÄñ⁄9_11åé,åéä‘èWåvçÄñ⁄9_12åé,åéä‘èWåvçÄñ⁄9_ÇPåé,åéä‘èWåvçÄñ⁄9_ÇQåé,åéä‘èWåvçÄñ⁄9_ÇRåé
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,186,4453,0.009,0.053,0.016,79.5,2,,,,,,,,,,30,31,30,31,31,30,3,0,0,0,0,0,718,742,718,736,742,716,81,0,0,0,0,0,0.012,0.009,0.008,0.009,0.009,0.009,0.009,,,,,,0.053,0.036,0.029,0.035,0.029,0.047,0.028,,,,,,0.018,0.018,0.014,0.015,0.018,0.014,0.015,,,,,,82.3,85.8,80.8,71.8,76.3,78.8,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101520,ñkÇPè,Kita1Jou,2,0,2,è§,10,364,8699,0.025,0.254,0.074,60.8,2,,,,,,,,,,30,31,30,31,31,30,31,29,31,31,28,31,718,740,718,735,742,716,742,706,735,737,670,740,0.018,0.014,0.013,0.014,0.014,0.015,0.023,0.029,0.036,0.049,0.041,0.035,0.072,0.06,0.049,0.07,0.051,0.061,0.109,0.139,0.241,0.254,0.223,0.161,0.026,0.026,0.022,0.023,0.026,0.023,0.036,0.047,0.074,0.092,0.087,0.071,67.8,68.4,63.4,57.2,62,59.9,60.5,59.6,59.6,56,61,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101540,ìÏÇPÇSè,Minami14Jou,2,0,2,è§,10,365,8716,0.02,0.2,0.062,63.4,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,718,735,741,717,742,716,742,737,669,741,0.013,0.011,0.01,0.01,0.01,0.012,0.016,0.024,0.034,0.042,0.037,0.028,0.054,0.037,0.03,0.034,0.037,0.048,0.076,0.099,0.16,0.17,0.2,0.112,0.019,0.017,0.014,0.016,0.013,0.022,0.027,0.047,0.062,0.075,0.068,0.049,70.3,71,63.6,57.1,59.6,60.6,65.9,62.3,61.1,61.3,62.7,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,365,8721,0.011,0.248,0.044,75.4,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,742,718,736,741,717,742,718,737,742,670,740,0.006,0.005,0.005,0.004,0.005,0.005,0.009,0.011,0.017,0.026,0.021,0.018,0.047,0.019,0.016,0.013,0.058,0.028,0.065,0.103,0.163,0.248,0.211,0.15,0.01,0.009,0.008,0.006,0.009,0.01,0.019,0.024,0.044,0.092,0.066,0.051,88.3,89.1,84.8,83.4,82.3,84.9,80.1,80,73.1,64.6,68.5,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,364,8687,0.014,0.315,0.064,74.9,2,,,,,,,,,,30,31,30,31,31,29,31,30,31,31,28,31,715,738,713,736,740,708,739,716,738,740,668,736,0.008,0.006,0.006,0.006,0.006,0.006,0.012,0.015,0.025,0.038,0.027,0.021,0.049,0.035,0.02,0.026,0.029,0.033,0.092,0.089,0.191,0.315,0.264,0.181,0.016,0.013,0.01,0.009,0.011,0.01,0.032,0.034,0.065,0.106,0.079,0.07,89.6,91.7,86.5,83.8,86.4,87,81.3,81.7,69.8,61.6,71.7,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102510,ñkÇPÇXè,Kita19Jou,2,0,2,è§,10,365,8716,0.02,0.335,0.08,64.9,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,711,742,742,716,741,718,741,736,670,740,0.011,0.009,0.008,0.008,0.008,0.01,0.017,0.021,0.034,0.046,0.038,0.03,0.049,0.043,0.028,0.03,0.03,0.052,0.099,0.115,0.25,0.335,0.261,0.201,0.02,0.018,0.014,0.012,0.015,0.016,0.039,0.048,0.086,0.117,0.091,0.087,78,76.5,72.8,65.2,70.4,70.9,70,71.6,60.3,56,60.6,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01103,éDñyésìåãÊ,Sapporo-shi Higashi-ku,01103520,ìåÇPÇWíöñ⁄,Higashi18Choume,2,0,2,è§,10,365,8716,0.023,0.353,0.088,60.8,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,711,742,742,717,742,714,742,737,670,741,0.015,0.011,0.01,0.008,0.009,0.012,0.02,0.023,0.038,0.053,0.046,0.036,0.066,0.054,0.038,0.04,0.041,0.056,0.108,0.134,0.333,0.353,0.246,0.207,0.03,0.023,0.021,0.02,0.019,0.022,0.038,0.044,0.098,0.105,0.097,0.088,69.5,71,70.7,66.3,68.5,65.6,63.9,67.5,56.5,51.3,56.7,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105520,åéä¶íÜâõ,Tsukisamuchuuou,2,0,2,è§,10,365,8716,0.018,0.257,0.056,63.2,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,741,717,736,742,717,742,715,741,738,669,741,0.014,0.01,0.008,0.007,0.008,0.01,0.015,0.02,0.029,0.04,0.034,0.026,0.059,0.059,0.049,0.04,0.047,0.043,0.07,0.078,0.135,0.257,0.156,0.114,0.025,0.022,0.021,0.019,0.022,0.018,0.028,0.031,0.047,0.075,0.056,0.05,66.9,67.9,67,65.8,64.7,61.9,61.9,62.8,61.1,59.1,62.5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,365,8719,0.011,0.23,0.051,78,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,718,735,742,716,742,718,737,742,670,740,0.007,0.005,0.004,0.004,0.004,0.004,0.009,0.011,0.019,0.029,0.021,0.017,0.044,0.039,0.018,0.019,0.018,0.042,0.084,0.099,0.125,0.214,0.23,0.183,0.013,0.014,0.008,0.007,0.007,0.01,0.022,0.032,0.046,0.074,0.056,0.046,89.6,92.1,89,88.3,89.1,84.8,77.9,81.5,76.9,67.9,73.9,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,04,NOX,2,01,ñkäCìπ,Hokkai-do,01108,éDñyéså˙ï ãÊ,Sapporo-shi Atsubetsu-ku,01108010,å˙ï ,Atsubetsu,1,0,2,è§,10,365,8718,0.016,0.347,0.065,70,2,,,,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,712,740,742,716,742,718,737,742,670,740,0.009,0.006,0.006,0.005,0.005,0.007,0.013,0.018,0.028,0.037,0.035,0.021,0.054,0.039,0.042,0.024,0.025,0.044,0.079,0.113,0.228,0.347,0.248,0.122,0.015,0.014,0.012,0.008,0.009,0.012,0.027,0.034,0.057,0.079,0.105,0.044,85.7,86.5,80.1,73.2,76.4,78.6,76.2,73.1,64.6,61,63.7,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
