ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,óLå¯ë™íËì˙êî(ì˙),ë™íËéûä‘(éûä‘),îNïΩãœíl(mg/m3),ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘),ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êîÇÃë™íËéûä‘êîÇ…ëŒÇ∑ÇÈäÑçá(%),ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙),ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êîÇÃóLå¯ë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ÇPéûä‘ílÇÃç≈çÇíl(mg/m3),ì˙ïΩãœílÇÃÇQ%èúäOíl(mg/m3),ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙Ç™ÇQì˙à»è„òAë±ÇµÇΩÇ±Ç∆ÇÃóLñ≥(óL:XÅEñ≥:O),ä¬ã´äÓèÄÇÃí∑ä˙ìIï]âøÇ…ÇÊÇÈì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,óLå¯ë™íËì˙êî(ì˙)_ÇSåé,óLå¯ë™íËì˙êî(ì˙)_ÇTåé,óLå¯ë™íËì˙êî(ì˙)_ÇUåé,óLå¯ë™íËì˙êî(ì˙)_ÇVåé,óLå¯ë™íËì˙êî(ì˙)_ÇWåé,óLå¯ë™íËì˙êî(ì˙)_ÇXåé,óLå¯ë™íËì˙êî(ì˙)_10åé,óLå¯ë™íËì˙êî(ì˙)_11åé,óLå¯ë™íËì˙êî(ì˙)_12åé,óLå¯ë™íËì˙êî(ì˙)_ÇPåé,óLå¯ë™íËì˙êî(ì˙)_ÇQåé,óLå¯ë™íËì˙êî(ì˙)_ÇRåé,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(mg/m3)_ÇSåé,åéïΩãœíl(mg/m3)_ÇTåé,åéïΩãœíl(mg/m3)_ÇUåé,åéïΩãœíl(mg/m3)_ÇVåé,åéïΩãœíl(mg/m3)_ÇWåé,åéïΩãœíl(mg/m3)_ÇXåé,åéïΩãœíl(mg/m3)_10åé,åéïΩãœíl(mg/m3)_11åé,åéïΩãœíl(mg/m3)_12åé,åéïΩãœíl(mg/m3)_ÇPåé,åéïΩãœíl(mg/m3)_ÇQåé,åéïΩãœíl(mg/m3)_ÇRåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇSåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇTåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇUåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇVåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇWåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇXåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_10åé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_11åé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_12åé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇPåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇQåé,ÇPéûä‘ílÇ™0.20mg/m3Çí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇRåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_10åé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_11åé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_12åé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,ì˙ïΩãœílÇ™0.10mg/m3Çí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇSåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇTåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇUåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇVåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇWåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇXåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_10åé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_11åé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_12åé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇPåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇQåé,ÇPéûä‘ílÇÃç≈çÇíl(mg/m3)_ÇRåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇSåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇTåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇUåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇVåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇWåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇXåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_10åé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_11åé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_12åé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇPåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇQåé,ì˙ïΩãœílÇÃç≈çÇíl(mg/m3)_ÇRåé,åéä‘èWåvçÄñ⁄8_ÇSåé,åéä‘èWåvçÄñ⁄8_ÇTåé,åéä‘èWåvçÄñ⁄8_ÇUåé,åéä‘èWåvçÄñ⁄8_ÇVåé,åéä‘èWåvçÄñ⁄8_ÇWåé,åéä‘èWåvçÄñ⁄8_ÇXåé,åéä‘èWåvçÄñ⁄8_10åé,åéä‘èWåvçÄñ⁄8_11åé,åéä‘èWåvçÄñ⁄8_12åé,åéä‘èWåvçÄñ⁄8_ÇPåé,åéä‘èWåvçÄñ⁄8_ÇQåé,åéä‘èWåvçÄñ⁄8_ÇRåé,åéä‘èWåvçÄñ⁄9_ÇSåé,åéä‘èWåvçÄñ⁄9_ÇTåé,åéä‘èWåvçÄñ⁄9_ÇUåé,åéä‘èWåvçÄñ⁄9_ÇVåé,åéä‘èWåvçÄñ⁄9_ÇWåé,åéä‘èWåvçÄñ⁄9_ÇXåé,åéä‘èWåvçÄñ⁄9_10åé,åéä‘èWåvçÄñ⁄9_11åé,åéä‘èWåvçÄñ⁄9_12åé,åéä‘èWåvçÄñ⁄9_ÇPåé,åéä‘èWåvçÄñ⁄9_ÇQåé,åéä‘èWåvçÄñ⁄9_ÇRåé
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,362,8703,0.009,0,0,0,0,0.097,0.022,O,0,3,,,,,30,29,30,31,31,30,31,29,31,31,28,31,719,717,719,739,743,719,743,707,741,742,671,743,0.009,0.009,0.01,0.011,0.011,0.008,0.007,0.008,0.007,0.008,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.043,0.027,0.056,0.097,0.023,0.026,0.038,0.024,0.041,0.056,0.028,0.019,0.023,0.016,0.025,0.031,0.014,0.015,0.022,0.014,0.015,0.029,0.018,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101520,ñkÇPè,Kita1Jou,2,0,2,è§,10,362,8697,0.009,0,0,0,0,0.078,0.022,O,0,3,,,,,30,29,30,31,31,30,31,29,31,31,28,31,719,716,719,740,743,718,743,707,737,742,671,742,0.01,0.009,0.01,0.011,0.011,0.008,0.007,0.008,0.008,0.008,0.01,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.049,0.028,0.067,0.078,0.029,0.023,0.035,0.034,0.042,0.06,0.034,0.02,0.025,0.016,0.025,0.025,0.015,0.015,0.025,0.015,0.015,0.03,0.018,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101540,ìÏÇPÇSè,Minami14Jou,2,0,2,è§,10,363,8711,0.009,0,0,0,0,0.072,0.021,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,713,719,741,743,718,743,717,743,742,671,742,0.01,0.009,0.011,0.011,0.011,0.008,0.007,0.008,0.008,0.009,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.058,0.023,0.066,0.048,0.04,0.021,0.033,0.025,0.037,0.072,0.048,0.02,0.026,0.015,0.022,0.023,0.014,0.015,0.024,0.015,0.015,0.032,0.021,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,363,8715,0.009,0,0,0,0,0.058,0.021,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,718,718,742,743,718,742,717,741,743,671,743,0.009,0.009,0.01,0.011,0.01,0.008,0.007,0.007,0.007,0.008,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.046,0.027,0.036,0.054,0.035,0.024,0.032,0.028,0.03,0.058,0.031,0.023,0.026,0.016,0.021,0.026,0.014,0.014,0.022,0.015,0.016,0.028,0.017,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,357,8594,0.009,0,0,0,0,0.156,0.021,O,0,3,,,,,30,31,30,26,31,27,31,30,31,31,28,31,719,743,719,649,741,671,743,719,743,743,671,733,0.01,0.01,0.012,0.012,0.012,0.009,0.008,0.008,0.007,0.007,0.009,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.051,0.048,0.044,0.045,0.031,0.034,0.036,0.034,0.031,0.156,0.036,0.021,0.029,0.019,0.025,0.025,0.015,0.015,0.024,0.015,0.013,0.022,0.017,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102510,ñkÇPÇXè,Kita19Jou,2,0,2,è§,10,363,8718,0.009,0,0,0,0,0.052,0.02,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,715,719,743,743,719,743,717,743,743,671,743,0.009,0.009,0.01,0.011,0.01,0.008,0.007,0.007,0.007,0.008,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.05,0.022,0.041,0.044,0.023,0.02,0.033,0.027,0.042,0.052,0.031,0.02,0.026,0.015,0.02,0.023,0.014,0.015,0.024,0.015,0.015,0.028,0.017,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01103,éDñyésìåãÊ,Sapporo-shi Higashi-ku,01103520,ìåÇPÇWíöñ⁄,Higashi18Choume,2,0,2,è§,10,363,8711,0.008,0,0,0,0,0.054,0.018,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,716,717,743,743,718,743,714,743,742,671,742,0.008,0.008,0.008,0.009,0.008,0.007,0.006,0.007,0.007,0.008,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.042,0.021,0.043,0.054,0.038,0.019,0.028,0.031,0.035,0.047,0.025,0.018,0.021,0.014,0.019,0.018,0.014,0.013,0.02,0.013,0.015,0.024,0.015,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105520,åéä¶íÜâõ,Tsukisamuchuuou,2,0,2,è§,10,363,8710,0.009,0,0,0,0,0.095,0.021,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,714,719,741,743,718,742,717,743,742,670,742,0.011,0.01,0.01,0.011,0.011,0.008,0.007,0.008,0.007,0.008,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.054,0.023,0.045,0.095,0.03,0.025,0.029,0.026,0.036,0.051,0.024,0.02,0.025,0.015,0.022,0.027,0.016,0.016,0.022,0.014,0.013,0.026,0.016,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,363,8716,0.008,0,0,0,0,0.116,0.02,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,719,716,719,741,743,719,743,717,742,743,671,743,0.008,0.008,0.009,0.01,0.01,0.007,0.007,0.007,0.006,0.007,0.009,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.055,0.022,0.087,0.116,0.03,0.021,0.032,0.024,0.035,0.054,0.028,0.018,0.023,0.016,0.022,0.026,0.013,0.015,0.022,0.013,0.012,0.027,0.016,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202100,íÜïîè¨äwçZ,Chuubushougakkou,1,0,2,è§,20,353,8450,0.01,0,0,0,0,0.083,0.022,O,0,3,,,,,25,24,30,31,31,30,31,30,31,31,28,31,599,582,711,742,743,719,742,719,738,743,669,743,0.008,0.011,0.01,0.012,0.013,0.01,0.009,0.009,0.008,0.007,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.083,0.034,0.046,0.058,0.038,0.033,0.042,0.053,0.021,0.051,0.039,0.013,0.045,0.017,0.02,0.024,0.017,0.022,0.022,0.017,0.013,0.029,0.019,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202120,ê[ñxíÜäwçZ,Fukaborichuugakkou,1,0,1,èZ,20,364,8736,0.009,0,0,0,0,0.08,0.022,O,0,3,,,,,30,31,29,31,31,30,31,30,31,31,28,31,719,743,712,743,743,719,743,719,739,743,671,742,0.01,0.011,0.01,0.01,0.012,0.009,0.008,0.009,0.008,0.007,0.01,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0.029,0.029,0.042,0.039,0.031,0.04,0.022,0.018,0.051,0.036,0.024,0.052,0.018,0.019,0.023,0.017,0.022,0.02,0.015,0.012,0.029,0.018,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,10,SPM,3,01,ñkäCìπ,Hokkai-do,01203,è¨íMés,Otaru-shi,01203090,ëKîü,Zenibako,1,0,1,èZ,30,363,8718,0.008,0,0,0,0,0.14,0.019,O,0,3,,,,,30,29,30,31,31,30,31,30,31,31,28,31,718,722,720,743,740,719,742,718,743,739,671,743,0.008,0.009,0.01,0.01,0.009,0.007,0.007,0.008,0.006,0.007,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.05,0.14,0.037,0.035,0.026,0.05,0.06,0.085,0.041,0.073,0.075,0.019,0.024,0.014,0.02,0.02,0.013,0.017,0.029,0.015,0.015,0.033,0.023,,,,,,,,,,,,,,,,,,,,,,,,
