ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,íãä‘ë™íËì˙êî(ì˙),íãä‘ë™íËéûä‘(éûä‘),íãä‘ÇÃÇPéûä‘ílÇÃîNïΩãœíl(ppm),íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙),íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘),íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙),íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘),íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm),íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃîNïΩãœíl(ppm),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄11,îNä‘èWåvçÄñ⁄12,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,íãä‘ë™íËì˙êî(ì˙)_ÇSåé,íãä‘ë™íËì˙êî(ì˙)_ÇTåé,íãä‘ë™íËì˙êî(ì˙)_ÇUåé,íãä‘ë™íËì˙êî(ì˙)_ÇVåé,íãä‘ë™íËì˙êî(ì˙)_ÇWåé,íãä‘ë™íËì˙êî(ì˙)_ÇXåé,íãä‘ë™íËì˙êî(ì˙)_10åé,íãä‘ë™íËì˙êî(ì˙)_11åé,íãä‘ë™íËì˙êî(ì˙)_12åé,íãä‘ë™íËì˙êî(ì˙)_ÇPåé,íãä‘ë™íËì˙êî(ì˙)_ÇQåé,íãä‘ë™íËì˙êî(ì˙)_ÇRåé,íãä‘ë™íËéûä‘(éûä‘)_ÇSåé,íãä‘ë™íËéûä‘(éûä‘)_ÇTåé,íãä‘ë™íËéûä‘(éûä‘)_ÇUåé,íãä‘ë™íËéûä‘(éûä‘)_ÇVåé,íãä‘ë™íËéûä‘(éûä‘)_ÇWåé,íãä‘ë™íËéûä‘(éûä‘)_ÇXåé,íãä‘ë™íËéûä‘(éûä‘)_10åé,íãä‘ë™íËéûä‘(éûä‘)_11åé,íãä‘ë™íËéûä‘(éûä‘)_12åé,íãä‘ë™íËéûä‘(éûä‘)_ÇPåé,íãä‘ë™íËéûä‘(éûä‘)_ÇQåé,íãä‘ë™íËéûä‘(éûä‘)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇVåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_10åé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_11åé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_12åé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_10åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_11åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_12åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇVåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_10åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_11åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_12åé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇ™0.06ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇVåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_10åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_11åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_12åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃì˙êî(ì˙)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇVåé,ìØíãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_10åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_11åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_12åé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇ™0.12ppmà»è„ÇÃéûä‘êî(éûä‘)_ÇRåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇSåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇTåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇUåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇVåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇWåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇXåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_10åé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_11åé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_12åé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇPåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇQåé,íãä‘ÇÃÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇRåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇSåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇTåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇUåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇVåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇWåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇXåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_10åé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_11åé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_12åé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇPåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇQåé,íãä‘ÇÃì˙ç≈çÇÇPéûä‘ílÇÃåéïΩãœíl(ppm)_ÇRåé
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,365,5456,0.027,8,52,0,0,0.077,0.035,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,461,449,465,450,456,465,415,465,0.042,0.045,0.03,0.021,0.027,0.027,0.026,0.021,0.017,0.018,0.019,0.025,2,5,1,0,0,0,0,0,0,0,0,0,14,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.076,0.066,0.042,0.046,0.054,0.052,0.041,0.034,0.037,0.039,0.054,0.05,0.054,0.037,0.028,0.033,0.036,0.036,0.03,0.026,0.027,0.029,0.04
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101020,éRï@,Yamahana,1,0,1,èZ,10,365,5465,0.033,24,126,0,0,0.083,0.042,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,459,450,465,450,465,465,416,465,0.048,0.051,0.034,0.026,0.032,0.031,0.03,0.026,0.026,0.026,0.029,0.042,5,13,2,0,0,0,0,0,0,0,0,4,25,78,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.081,0.069,0.054,0.054,0.056,0.056,0.045,0.039,0.042,0.056,0.071,0.055,0.059,0.041,0.035,0.039,0.04,0.04,0.034,0.035,0.035,0.039,0.051
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,365,5466,0.033,20,79,0,0,0.078,0.041,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,461,450,465,450,465,465,415,465,0.046,0.048,0.034,0.025,0.03,0.03,0.029,0.026,0.027,0.028,0.03,0.041,4,10,2,0,0,0,0,0,0,0,0,4,14,51,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.076,0.071,0.05,0.053,0.053,0.056,0.041,0.04,0.041,0.053,0.069,0.053,0.057,0.04,0.033,0.038,0.04,0.039,0.034,0.035,0.035,0.039,0.05
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,364,5423,0.029,13,60,0,0,0.079,0.038,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,30,450,465,450,465,459,442,465,450,465,465,420,427,0.044,0.045,0.03,0.022,0.026,0.027,0.027,0.024,0.022,0.022,0.026,0.039,2,6,1,0,0,0,0,0,0,0,0,4,14,35,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0.077,0.061,0.048,0.05,0.05,0.05,0.04,0.036,0.037,0.053,0.068,0.051,0.054,0.036,0.029,0.033,0.036,0.036,0.031,0.031,0.031,0.036,0.049
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01103,éDñyésìåãÊ,Sapporo-shi Higashi-ku,01103010,ìå,Higashi,1,0,1,èZ,10,365,5464,0.031,18,73,0,0,0.078,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,461,449,465,450,465,465,414,465,0.046,0.048,0.033,0.025,0.03,0.03,0.028,0.024,0.023,0.023,0.027,0.039,3,9,1,0,0,0,0,0,0,0,0,5,15,44,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.078,0.067,0.052,0.056,0.055,0.054,0.043,0.038,0.04,0.052,0.068,0.053,0.057,0.04,0.033,0.038,0.04,0.038,0.033,0.033,0.033,0.038,0.05
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01104,éDñyésîíêŒãÊ,Sapporo-shi Shiroishi-ku,01104030,ñkîíêŒ,Kitashiroishi,1,0,3,èÄçH,10,365,5465,0.031,17,68,0,0,0.077,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,461,449,465,450,465,465,415,465,0.045,0.048,0.033,0.025,0.03,0.029,0.027,0.023,0.021,0.022,0.026,0.039,4,9,1,0,0,0,0,0,0,0,0,3,15,45,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.077,0.063,0.05,0.053,0.054,0.054,0.041,0.038,0.039,0.052,0.062,0.053,0.057,0.04,0.033,0.038,0.04,0.038,0.032,0.032,0.033,0.038,0.049
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105010,ìååéä¶,Higashitsukisamu,1,0,1,èZ,10,365,5466,0.032,14,70,0,0,0.076,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,462,449,465,450,465,465,415,465,0.046,0.048,0.033,0.024,0.03,0.03,0.029,0.024,0.023,0.024,0.028,0.041,2,10,1,0,0,0,0,0,0,0,0,1,13,51,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.076,0.062,0.052,0.047,0.056,0.052,0.042,0.038,0.039,0.055,0.066,0.052,0.056,0.039,0.032,0.037,0.04,0.039,0.033,0.033,0.034,0.038,0.05
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01106,éDñyésìÏãÊ,Sapporo-shi Minami-ku,01106050,ãÓâ™,Komaoka,1,0,1,èZ,10,364,5432,0.036,34,186,0,0,0.084,0.043,3,,,,,,,30,30,30,31,31,30,31,30,31,31,28,31,450,433,450,465,462,447,465,450,465,465,415,465,0.051,0.053,0.035,0.025,0.031,0.029,0.031,0.028,0.03,0.031,0.037,0.048,7,17,2,0,0,1,0,0,0,0,0,7,36,103,6,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.083,0.066,0.056,0.052,0.062,0.056,0.044,0.041,0.051,0.06,0.074,0.057,0.061,0.041,0.033,0.039,0.04,0.04,0.036,0.037,0.038,0.044,0.055
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,365,5458,0.031,20,95,0,0,0.082,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,464,461,449,465,450,464,465,414,461,0.046,0.048,0.033,0.025,0.029,0.029,0.027,0.024,0.023,0.024,0.028,0.04,4,12,1,0,0,0,0,0,0,0,0,3,20,65,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.077,0.067,0.056,0.055,0.054,0.055,0.042,0.037,0.039,0.052,0.069,0.053,0.057,0.04,0.033,0.037,0.039,0.038,0.032,0.032,0.032,0.037,0.05
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01109,éDñyéséËàÓãÊ,Sapporo-shi Teine-ku,01107030,éËàÓ,Teine,1,0,1,èZ,10,365,5466,0.031,17,74,0,0,0.08,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,462,449,465,450,465,465,415,465,0.044,0.047,0.033,0.024,0.028,0.028,0.027,0.025,0.024,0.023,0.027,0.038,4,11,1,0,0,0,0,0,0,0,0,1,20,47,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.074,0.068,0.06,0.053,0.053,0.055,0.042,0.038,0.039,0.053,0.069,0.053,0.056,0.04,0.032,0.036,0.039,0.038,0.034,0.033,0.032,0.038,0.05
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01108,éDñyéså˙ï ãÊ,Sapporo-shi Atsubetsu-ku,01108010,å˙ï ,Atsubetsu,1,0,2,è§,10,365,5467,0.031,14,55,0,0,0.075,0.04,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,462,449,465,450,465,465,416,465,0.045,0.047,0.032,0.024,0.029,0.029,0.028,0.024,0.022,0.023,0.028,0.04,3,8,1,0,0,0,0,0,0,0,0,2,11,38,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.075,0.061,0.05,0.052,0.053,0.052,0.041,0.037,0.039,0.05,0.063,0.052,0.055,0.038,0.032,0.037,0.04,0.037,0.033,0.032,0.033,0.038,0.049
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01110,éDñyésê¥ìcãÊ,Sapporo-shi Kiyota-ku,01110010,ê¥ìc,Kiyota,1,0,3,èÄçH,10,365,5463,0.03,16,71,0,0,0.076,0.039,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,450,465,462,447,464,450,465,465,415,465,0.044,0.047,0.031,0.022,0.028,0.026,0.026,0.022,0.021,0.022,0.027,0.04,3,8,1,0,0,0,0,0,0,0,0,4,14,47,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.076,0.064,0.048,0.048,0.051,0.053,0.04,0.039,0.04,0.055,0.063,0.052,0.055,0.038,0.03,0.035,0.037,0.036,0.032,0.032,0.032,0.038,0.049
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202080,ñkî¸å¥è¨äwçZ,Kitamiharashougakkou,1,0,1,èZ,20,365,5464,0.036,24,119,0,0,0.082,0.044,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,444,465,465,450,465,450,460,465,420,465,0.047,0.048,0.035,0.028,0.035,0.035,0.037,0.032,0.029,0.029,0.033,0.042,7,9,2,0,1,0,0,0,0,0,0,5,31,60,5,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.082,0.068,0.051,0.067,0.054,0.06,0.054,0.04,0.045,0.053,0.069,0.054,0.057,0.042,0.036,0.044,0.044,0.045,0.041,0.036,0.037,0.042,0.051
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202100,íÜïîè¨äwçZ,Chuubushougakkou,1,0,2,è§,20,365,5454,0.032,15,53,0,0,0.076,0.042,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,450,465,434,465,465,450,465,450,460,465,420,465,0.042,0.041,0.034,0.026,0.034,0.032,0.033,0.028,0.026,0.025,0.029,0.038,3,7,1,0,0,0,1,0,0,1,0,2,13,23,3,0,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.074,0.068,0.047,0.059,0.053,0.061,0.053,0.043,0.07,0.058,0.07,0.05,0.052,0.041,0.034,0.043,0.042,0.044,0.038,0.034,0.035,0.039,0.049
2022,1,06,OX,3,01,ñkäCìπ,Hokkai-do,01204,àÆêÏés,Asahikawa-shi,01204010,íÜâõ,Chuuou,1,0,2,è§,40,365,5451,0.026,11,60,0,0,0.081,0.035,3,,,,,,,30,31,30,31,31,30,31,30,31,31,28,31,447,465,450,465,453,450,461,450,465,461,419,465,0.04,0.043,0.029,0.02,0.025,0.023,0.023,0.019,0.021,0.016,0.018,0.031,2,7,1,0,0,0,0,0,0,0,0,1,21,35,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.081,0.065,0.049,0.045,0.053,0.053,0.045,0.035,0.036,0.045,0.062,0.049,0.054,0.037,0.028,0.033,0.035,0.033,0.028,0.029,0.025,0.029,0.042
