ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åßñº_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,ë™íËéûä‘(éûä‘),îNïΩãœíl(ppmC),ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈîNïΩãœíl(ppmC),ÇUÅ`ÇXéûë™íËì˙êî(ì˙),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êîÇÃÇUÅ`ÇXéûë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙),ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êîÇÃÇUÅ`ÇXéûë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄12,îNä‘èWåvçÄñ⁄13,îNä‘èWåvçÄñ⁄14,îNä‘èWåvçÄñ⁄15,îNä‘èWåvçÄñ⁄16,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(ppmC)_ÇSåé,åéïΩãœíl(ppmC)_ÇTåé,åéïΩãœíl(ppmC)_ÇUåé,åéïΩãœíl(ppmC)_ÇVåé,åéïΩãœíl(ppmC)_ÇWåé,åéïΩãœíl(ppmC)_ÇXåé,åéïΩãœíl(ppmC)_10åé,åéïΩãœíl(ppmC)_11åé,åéïΩãœíl(ppmC)_12åé,åéïΩãœíl(ppmC)_ÇPåé,åéïΩãœíl(ppmC)_ÇQåé,åéïΩãœíl(ppmC)_ÇRåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇSåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇTåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇUåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇVåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇWåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇXåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_10åé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_11åé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_12åé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇPåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇQåé,ÇUÅ`ÇXéûÇ…Ç®ÇØÇÈåéïΩãœíl(ppmC)_ÇRåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇSåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇTåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇUåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇVåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇWåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇXåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_10åé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_11åé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_12åé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇPåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇQåé,ÇUÅ`ÇXéûë™íËì˙êî(ì˙)_ÇRåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇSåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇTåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇUåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇVåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇWåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇXåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_10åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_11åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_12åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇPåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇQåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈çÇíl(ppmC)_ÇRåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇSåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇTåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇUåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇVåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇWåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇXåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_10åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_11åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_12åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇPåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇQåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇÃç≈í·íl(ppmC)_ÇRåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_10åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)11åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_12åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.20ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_10åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_11åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_12åé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,ÇUÅ`ÇXéûÇRéûä‘ïΩãœílÇ™0.31ppmCÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,åéä‘èWåvçÄñ⁄9_ÇSåé,åéä‘èWåvçÄñ⁄9_ÇTåé,åéä‘èWåvçÄñ⁄9_ÇUåé,åéä‘èWåvçÄñ⁄9_ÇVåé,åéä‘èWåvçÄñ⁄9_ÇWåé,åéä‘èWåvçÄñ⁄9_ÇXåé,åéä‘èWåvçÄñ⁄9_10åé,åéä‘èWåvçÄñ⁄9_11åé,åéä‘èWåvçÄñ⁄9_12åé,åéä‘èWåvçÄñ⁄9_ÇPåé,åéä‘èWåvçÄñ⁄9_ÇQåé,åéä‘èWåvçÄñ⁄9_ÇRåé
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,8673,0.14,0.08,362,0.67,0.01,11,3,6,1.7,1,,,,,,716,737,716,734,739,714,742,707,730,732,667,739,0.07,0.05,0.06,0.08,0.09,0.08,0.08,0.13,0.18,0.18,0.19,0.52,0.06,0.04,0.05,0.08,0.09,0.08,0.08,0.11,0.09,0.1,0.1,0.14,30,31,30,31,31,30,31,29,30,30,28,31,0.16,0.09,0.18,0.16,0.2,0.18,0.21,0.67,0.29,0.4,0.26,0.54,0.01,0.01,0.02,0.03,0.04,0.03,0.02,0.04,0.03,0.03,0.04,0.05,0,0,0,0,0,0,1,2,1,2,1,4,0,0,0,0,0,0,0,1,0,1,0,4,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,8697,0.05,0.05,365,0.22,0.02,3,0.8,0,0,1,,,,,,716,739,713,740,737,716,739,716,740,733,668,740,0.04,0.04,0.04,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.06,0.07,0.06,0.07,0.05,30,31,30,31,31,30,31,30,31,31,28,31,0.06,0.06,0.05,0.07,0.07,0.08,0.22,0.14,0.22,0.15,0.14,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,8556,0.12,0.14,360,0.54,0.03,53,14.7,17,4.7,1,,,,,,613,737,716,739,737,709,734,716,739,739,639,738,0.15,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.12,0.15,0.12,0.13,0.13,0.12,0.1,0.13,0.12,0.14,0.15,0.15,0.14,0.18,0.16,0.16,26,31,30,31,31,30,31,30,31,31,27,31,0.26,0.29,0.17,0.22,0.2,0.29,0.48,0.39,0.39,0.54,0.53,0.41,0.06,0.04,0.03,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.06,2,3,0,1,0,4,6,7,7,10,7,6,0,0,0,0,0,0,3,1,2,6,2,3,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,8694,0.08,0.1,364,0.4,0.01,36,9.9,9,2.5,1,,,,,,714,740,711,740,740,713,739,713,736,740,668,740,0.07,0.08,0.06,0.08,0.07,0.07,0.09,0.09,0.08,0.1,0.1,0.09,0.08,0.08,0.06,0.08,0.09,0.09,0.12,0.11,0.11,0.12,0.14,0.14,30,31,30,31,31,30,31,29,31,31,28,31,0.22,0.19,0.23,0.15,0.16,0.19,0.37,0.3,0.33,0.4,0.4,0.37,0.01,0.02,0.02,0.04,0.05,0.02,0.02,0.03,0.03,0.02,0.03,0.03,2,0,1,0,0,0,5,4,3,7,7,7,0,0,0,0,0,0,1,0,1,3,2,2,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01108,éDñyéså˙ï ãÊ,Sapporo-shi Atsubetsu-ku,01108010,å˙ï ,Atsubetsu,1,0,2,è§,10,8699,0.08,0.08,365,0.48,0.02,12,3.3,1,0.3,1,,,,,,716,739,713,740,740,714,740,716,734,740,668,739,0.05,0.05,0.06,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.09,0.07,0.05,0.04,0.06,0.08,0.08,0.09,0.09,0.1,0.1,0.12,0.13,0.08,30,31,30,31,31,30,31,30,31,31,28,31,0.09,0.08,0.09,0.12,0.12,0.16,0.23,0.23,0.23,0.48,0.29,0.17,0.02,0.02,0.02,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0,0,0,0,0,0,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01213,ìœè¨ñqés,Tomakomai-shi,01213220,è¿Émí[åˆâÄ,Numanohatakouen,1,0,1,èZ,70,8699,0.07,0.08,364,0.38,0,20,5.5,3,0.8,1,,,,,,717,741,718,742,740,691,741,717,742,740,669,741,0.06,0.05,0.05,0.07,0.08,0.07,0.05,0.07,0.08,0.08,0.08,0.07,0.06,0.05,0.04,0.06,0.07,0.06,0.06,0.08,0.11,0.14,0.13,0.08,30,31,30,31,31,29,31,30,31,31,28,31,0.13,0.13,0.13,0.13,0.21,0.12,0.17,0.2,0.29,0.38,0.3,0.26,0.03,0,0,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0,0,0,0,1,0,0,0,6,8,4,1,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01585,à¿ïΩí¨,Abira-cho,01579020,âìêÛ,Touasa,1,0,6,ñ¢,70,8645,0.04,0.05,363,0.11,0.02,0,0,0,0,1,,,,,,716,740,714,741,740,711,740,715,741,740,669,678,0.03,0.03,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.06,0.06,0.06,0.05,0.04,0.03,0.04,0.05,0.04,30,31,30,31,31,30,31,30,31,31,28,29,0.06,0.06,0.06,0.11,0.08,0.09,0.07,0.08,0.11,0.1,0.1,0.06,0.02,0.02,0.03,0.04,0.05,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,01,ñkäCìπ,Hokkai-do,01581,å˙ê^í¨,Atsuma-cho,01581020,è„å˙ê^,Kamiatsuma,1,0,3,èÄçH,70,8644,0.04,0.04,363,0.07,0.01,0,0,0,0,1,,,,,,716,740,715,741,740,710,740,715,740,740,669,678,0.03,0.03,0.03,0.05,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,30,31,30,31,31,30,31,30,31,31,28,29,0.04,0.06,0.05,0.07,0.07,0.07,0.07,0.06,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,02,ê¬êXåß,Aomori-ken,02201,ê¬êXés,Aomori-shi,02201520,ã¥ñ{è¨äwçZ,Hashimotoshougakkou,2,0,2,è§,72,8550,0.05,0.06,360,0.63,-0.01,10,2.8,2,0.6,1,,,,,,686,738,710,739,734,716,737,716,726,738,608,702,0.05,0.04,0.03,0.04,0.06,0.05,0.05,0.06,0.04,0.04,0.05,0.11,0.06,0.05,0.03,0.04,0.05,0.06,0.05,0.07,0.05,0.04,0.06,0.13,29,31,30,31,31,30,31,30,30,31,26,30,0.15,0.16,0.09,0.19,0.09,0.12,0.15,0.21,0.22,0.25,0.2,0.63,0.01,0,0,0,0.01,0.02,0.01,0.01,0,-0.01,0.01,0.02,0,0,0,0,0,0,0,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
2022,1,07,NMHC,1,02,ê¬êXåß,Aomori-ken,02202,çOëOés,Hirosaki-shi,02202510,ï∂ãûè¨äwçZ,Bunkyoushougakkou,2,0,1,èZ,1000,8670,0.05,0.06,364,0.32,0.01,1,0.3,1,0.3,1,,,,,,714,739,713,739,738,716,738,714,740,715,668,736,0.06,0.06,0.04,0.04,0.04,0.04,0.05,0.07,0.05,0.08,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.06,0.09,0.06,0.1,0.08,0.07,30,31,30,31,31,30,31,30,31,30,28,31,0.13,0.11,0.07,0.08,0.07,0.08,0.14,0.13,0.16,0.32,0.16,0.15,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.05,0.02,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,02,ê¬êXåß,Aomori-ken,02203,î™åÀés,Hachinohe-shi,02203240,î™åÀè¨äwçZ,Hachinoheshougakkou,1,0,1,èZ,80,8337,0.11,0.11,349,0.53,0.03,5,1.4,1,0.3,1,,,,,,716,736,714,687,551,713,739,712,738,737,642,652,0.09,0.11,0.11,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.1,0.1,0.09,0.11,0.11,0.14,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,30,31,30,29,23,30,31,29,31,31,27,27,0.16,0.16,0.17,0.53,0.19,0.16,0.16,0.25,0.22,0.2,0.17,0.15,0.04,0.04,0.07,0.03,0.09,0.09,0.08,0.06,0.06,0.07,0.07,0.07,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,02,ê¬êXåß,Aomori-ken,02203,î™åÀés,Hachinohe-shi,02203510,òZì˙í¨,Muikamachi,2,0,2,è§,80,8662,0.15,0.13,364,0.34,0.04,36,9.9,4,1.1,1,,,,,,717,737,715,738,737,714,739,714,739,718,666,728,0.14,0.17,0.16,0.22,0.22,0.19,0.14,0.14,0.11,0.11,0.12,0.13,0.11,0.14,0.14,0.21,0.2,0.16,0.11,0.11,0.09,0.1,0.1,0.12,30,31,30,31,31,30,31,30,31,30,28,31,0.26,0.32,0.2,0.32,0.33,0.26,0.17,0.19,0.2,0.34,0.19,0.22,0.05,0.06,0.06,0.13,0.15,0.1,0.07,0.07,0.06,0.04,0.06,0.07,1,2,0,19,9,3,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,
2022,1,07,NMHC,1,02,ê¬êXåß,Aomori-ken,02201,ê¬êXés,Aomori-shi,02364510,ãåëÂâhè¨äwçZ,Kyuudaieishougakkou,2,0,6,ñ¢,1000,8032,0.02,0.02,335,0.08,-0.03,0,0,0,0,1,,,,,,715,686,714,540,645,716,738,715,516,739,667,641,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,30,29,30,21,27,30,31,30,21,31,28,27,0.08,0.08,0.05,0.08,0.07,0.05,0.06,0.07,0.07,0.05,0.04,0.04,-0.01,0.01,0.01,0.01,0.02,-0.01,0,-0.01,-0.01,-0.03,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
