YEAR,STATION,POLLUTANT,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2022,CENTRAL/WESTERN,Fine Suspended Particulates ,25,13,18,15,10,6,8,8,23,15,13,17
2022,CENTRAL/WESTERN,Nitrogen Dioxide,40,36,37,29,24,19,18,26,32,26,30,40
2022,CENTRAL/WESTERN,Nitrogen Oxides,49,48,54,37,29,26,24,35,35,30,37,51
2022,CENTRAL/WESTERN,Ozone,70,55,73,75,74,40,57,53,130,94,63,55
2022,CENTRAL/WESTERN,Respirable Suspended Particulates,35,19,27,25,16,10,13,13,36,28,20,25
2022,CENTRAL/WESTERN,Sulphur Dioxide,3,2,3,3,4,4,4,4,4,3,5,3
2022,EASTERN,Fine Suspended Particulates ,22,12,16,14,10,5,8,7,21,14,13,17
2022,EASTERN,Nitrogen Dioxide,41,36,39,31,30,22,22,29,34,29,33,38
2022,EASTERN,Ozone,68,56,71,76,72,42,55,54,119,96,71,60
2022,EASTERN,Respirable Suspended Particulates,35,21,28,27,19,13,16,14,33,27,20,27
2022,EASTERN,Sulphur Dioxide,1,1,1,1,1,1,2,1,3,2,1,2
2022,KWAI CHUNG,Fine Suspended Particulates ,25,14,18,15,11,8,10,9,24,15,13,19
2022,KWAI CHUNG,Nitrogen Dioxide,48,39,47,44,43,49,48,41,55,39,35,42
2022,KWAI CHUNG,Nitrogen Oxides,72,64,86,74,72,109,85,80,69,52,55,68
2022,KWAI CHUNG,Ozone,50,40,51,54,53,11,24,28,83,71,47,42
2022,KWAI CHUNG,Respirable Suspended Particulates,34,19,26,25,18,15,16,14,36,28,19,29
2022,KWAI CHUNG,Sulphur Dioxide,6,6,9,8,7,13,13,11,4,3,2,3
2022,KWUN TONG,Fine Suspended Particulates ,23,12,18,16,12,9,10,8,20,13,12,17
2022,KWUN TONG,Nitrogen Dioxide,50,43,48,45,44,40,42,43,59,42,37,48
2022,KWUN TONG,Nitrogen Oxides,68,69,76,64,68,78,69,73,71,53,50,77
2022,KWUN TONG,Ozone,56,43,57,57,52,19,30,29,87,73,52,39
